region,start_date,end_date,uhi,ndvi_mean,ndvi_std,evi_mean,evi_std,evi2_mean,evi2_std,population_mean,population_std,albedo_mean,albedo_std,no2_mean,no2_std
Region_1,2018-01-01,2018-01-31,0.6142931991631819,0.38652283024418926,0.08846491741294941,0.2042448348185898,0.06468368158659826,0.19028282322125112,0.061482602204121335,7083.15982863112,1625.731263817848,131.1682658087294,13.27063840636811,,
Region_2,2018-01-31,2018-03-02,0.7705312797394548,0.41366524072545074,0.09389686563994058,0.24112809270278723,0.07380001513940564,0.22391611194943487,0.07042934842151634,7083.15982863112,1625.731263817848,133.44430240393297,13.775083211324134,,
Region_3,2018-03-02,2018-04-01,1.2609561493369625,0.41274581399652654,0.07734749736323021,0.25550073171426124,0.05239453667603284,0.23603556857329952,0.05016603685013207,7083.15982863112,1625.731263817848,131.79632149873302,11.096456040988496,,
Region_4,2018-04-01,2018-05-01,1.1024243713023836,0.36251892871717484,0.05521944260641559,0.23723878844821547,0.03450181187621908,0.21667500023726144,0.031668696451554526,7083.15982863112,1625.731263817848,134.98906414600125,10.486735738319435,,
Region_5,2018-05-01,2018-05-31,0.44405247397962455,0.3334232134214049,0.056727317064853906,0.21967848560772119,0.034418487417156,0.19994994803974594,0.030605019987363473,7083.15982863112,1625.731263817848,131.87144226480274,9.857456104574531,,
Region_6,2018-05-31,2018-06-30,0.504245849149946,0.4034024755857985,0.05941998673671793,0.2802452189448507,0.04139662248730664,0.25687551462004954,0.03907475192648116,7083.15982863112,1625.731263817848,134.56800577019808,8.919466481108284,,
Region_7,2018-06-30,2018-07-30,1.5635058473666277,0.5241817833043875,0.08003824209265868,0.3617947399140165,0.06813173275274202,0.3393519381886512,0.06765289883713782,7083.15982863112,1625.731263817848,137.52470647789556,9.502283651311645,0.00011339131487978337,7.0173184704917145e-06
Region_8,2018-07-30,2018-08-29,1.6310356986879313,0.5715433932181191,0.09169743799111596,0.36515092769220564,0.07555110252529856,0.34311267925101324,0.07428699623296395,7083.15982863112,1625.731263817848,142.7236876736888,11.859600353210835,0.00010443077364546329,3.4495701451040563e-06
Region_9,2018-08-29,2018-09-28,1.4823382294022132,0.553383596930786,0.08354945651542478,0.3556908493010277,0.06888137305417566,0.33392503630099934,0.0686610373526381,7083.15982863112,1625.731263817848,136.38416293857946,11.801228468508022,9.409247103178108e-05,4.30658917027681e-06
Region_10,2018-09-28,2018-10-28,0.8752643008774719,0.49222728482760597,0.07667159088018533,0.303027552458503,0.04845683750617137,0.2799405859408364,0.04667837940830803,7083.15982863112,1625.731263817848,140.22512313868415,11.029220245325458,0.00011120771818306003,6.134558189317631e-06
Region_11,2018-10-28,2018-11-27,0.4562002112315291,0.44222697235429786,0.0756815403217116,0.2521528393075763,0.04209929280029561,0.23524958289439973,0.040019688949522535,7083.15982863112,1625.731263817848,135.50016513395786,10.656571887125963,0.00011231595248894737,3.793303615923256e-06
