region,start_date,end_date,uhi,ndvi_mean,ndvi_std,evi_mean,evi_std,evi2_mean,evi2_std,population_mean,population_std,albedo_mean,albedo_std,no2_mean,no2_std
0,2018-09-08,2018-10-08,0.9173748357769699,0.8501829935629077,0.751222523592316,0.7626795737298413,0.9010712232242937,0.8049098010488615,1.020408488083431,0.0,0.0,1.309738769952582,-0.4627207684730338,-0.6851025165264827,1.0345222264569411
0,2018-10-08,2018-11-07,0.004134084063090416,0.5051854792313841,0.3769627184009407,0.1476689495208066,0.3725233738539616,0.13910586280712964,0.31651381872429696,0.0,0.0,2.130323079214556,0.2656269714798199,0.9522567870998945,-0.47664524139208564
0,2018-11-07,2018-12-07,-0.011267860844367638,0.23755231021173165,0.024285360242921623,-0.5124040134321994,-0.7313965578497489,-0.4389821997113935,-0.6548762856164905,0.0,0.0,1.1446544592892414,-0.14037891823935006,0.7698645967971856,1.2222970890675584
0,2018-12-07,2019-01-06,-0.2809624894921157,-0.9230038910907139,-0.06047301192047318,-1.220372783541165,-0.5777905385848835,-1.19198068821158,-0.5779376096640666,0.0,0.0,0.39300080169690693,-0.8000605043529682,1.2282988572424156,3.282417114030186
0,2019-01-06,2019-02-05,0.5327185223397318,-1.4486111757646862,-0.7063045055010941,-1.429736270754888,-0.8182693854460127,-1.4442285329362115,-0.7950527671675434,0.0,0.0,-0.201501028779797,-1.5914467908347718,1.117012721698568,1.4739830109984102
0,2019-02-05,2019-03-07,1.2831548177372962,-0.5072803326762626,1.437187719894384,-0.804440188784274,0.9942921866797285,-0.735939435595497,1.14377235175327,0.0,0.0,-0.6293071487076157,0.7516299287033084,-0.1365224862711421,1.1706929375637276
0,2019-03-07,2019-04-06,0.5600934448714032,-1.2370148943924968,1.0174708685333629,-0.5756779829483327,1.1655323680877998,-0.6726250311568666,0.7630541966949922,0.0,0.0,-0.5367376595330402,0.2692651510577751,-1.0001085909565155,-0.6677553018586647
0,2019-04-06,2019-05-06,-0.3543758861789633,-0.830884178211004,-0.9904600913158904,-0.12706440829750582,-0.5715525990408101,-0.2672847032434242,-0.6563284806063456,0.0,0.0,0.7677637655960289,-0.46742222494624847,0.13847382088893861,0.27504481854638285
0,2019-05-06,2019-06-05,-0.3319634938415469,-0.9757807398683016,-0.8654652335241988,-0.2907219885600371,-0.7990202795533157,-0.4157987281542989,-0.9158396544261784,0.0,0.0,-0.06431984396391173,-0.6249488359518934,1.105983136214782,-0.9357077459793011
0,2019-06-05,2019-07-05,-0.39209850678595654,-0.9667956052295502,-1.2109491315032324,-0.2314704366745917,-0.8907033729095657,-0.34665751687982926,-0.9227534378945086,0.0,0.0,0.3376798270504688,-0.3234694747598151,1.5374716454797497,-1.0618245780971651
0,2019-07-05,2019-08-04,0.5601998018808003,1.2561705263023788,1.402847070314442,1.9309911778595112,2.0647288211688655,1.9168396917995534,2.029987446208424,0.0,0.0,-0.03678191048191374,0.44118672847471435,0.08764867478505886,-0.7011524201475458
0,2019-08-04,2019-09-03,0.4766927432932154,1.232828934958788,0.6182692916470125,1.4686552833677013,2.867252102518541,1.51907729823713,2.7495792689685965,0.0,0.0,-1.3308794376805178,1.0474716143548737,-1.0764492767363503,-1.3856523704251733
0,2019-09-03,2019-10-03,-0.577563821306775,1.0924121617228535,-1.0136411821911326,1.331345376202062,0.7242025262540581,1.4054017073919367,0.6258345299019331,0.0,0.0,-1.8061304844080233,3.759689242852291,-0.4971490961089424,-0.12144125159598089
