Date,UHI,NDVI,Population,Albedo,NO2_Total,NO2_Tropospheric,NO2_Stratospheric,Aerosol_Index,Cloud_Fraction,GHSL_Built
2018-07-12,2.6398099581907957,4511.0,7332.75341796875,0.1266,0.00011688161593312068,6.665065059981619e-05,4.454122729708283e-05,-0.9901106002164733,0.546588053982111,13.0
2018-07-28,0.8506370262390561,4569.0,7332.75341796875,0.132,0.00010510360473509933,5.058470971139248e-05,4.538026967375598e-05,-0.4761965691607906,0.34024182636515815,13.0
2018-08-13,4.458559381588184,4403.0,7332.75341796875,0.129,0.00012453018643067271,5.230769138225963e-05,4.152802302165525e-05,-1.2640984214410838,0.2866473771152187,13.0
2018-08-29,2.2319030217849907,4603.0,7332.75341796875,0.1241,9.355640914938265e-05,3.86726683000788e-05,4.206993769090097e-05,-0.9282605770175628,0.5026568054999484,13.0
2018-09-14,1.1486465214335695,4564.0,7332.75341796875,0.1269375,0.00010049289813288867,4.949434268133127e-05,4.402993546505826e-05,-0.5518262270862697,0.14382348056366143,13.0
2018-09-30,0.9006844694307539,4418.0,7332.75341796875,0.1314375,0.00010621554510782513,6.492686291162813e-05,4.128868286501057e-05,-0.28776268720210624,0.02318663249468129,13.0
2018-10-16,0.16937596626845064,3819.0,7332.75341796875,0.1285625,0.00012669772025099868,8.512745660238044e-05,4.1570266454794735e-05,-0.30094577955962515,0.03762315727889734,13.0
2018-11-01,0.19929304286718263,4034.0,7332.75341796875,0.1266875,0.00011109974141858316,6.583557557975074e-05,4.3212064063000495e-05,-0.35079583353797855,0.13542486561141773,13.0
2018-11-17,-0.18421363316940287,4471.0,7332.75341796875,0.1278125,0.0001192489132265596,7.961339103091476e-05,4.04824035404968e-05,-0.46351088824120634,0.09141503908402136,13.0
2018-12-03,-0.2531440618411658,3916.0,7332.75341796875,0.124625,0.00013529208801365674,9.870543115821593e-05,3.883486168293108e-05,-0.5614770794664543,0.10714258681994258,13.0
2018-12-19,-0.7042098852190328,3685.5,7332.75341796875,0.121375,0.00012033969792173061,8.554590215994665e-05,3.690947281768223e-05,-0.5928399929029646,0.09346523123066658,13.0
2019-01-04,-0.06422347153899821,4012.0,7332.75341796875,0.1214375,0.00011316465724601856,8.348139613846644e-05,3.848184502080783e-05,-0.6032565434164486,0.1552815884478777,13.0
2019-01-20,0.22709486999298178,3737.0,7332.75341796875,0.1193125,0.00012288689598470969,7.433079824788465e-05,4.260531398519598e-05,-0.8593663859700591,0.30757631787471007,13.0
2019-02-05,-0.08465495432185577,3771.0,7332.75341796875,0.1234375,0.00012916145158142913,6.025969947752494e-05,4.200807455637676e-05,-0.7168468114491396,0.48659792245730277,13.0
2019-02-21,0.982566408995087,3084.0,7332.75341796875,0.1191875,8.72408161902688e-05,4.2360902054464485e-05,4.398640253307563e-05,-0.9160722507164614,0.21445199104853682,13.0
2019-03-09,1.454705551651422,3086.0,7332.75341796875,0.1186875,8.538775850495087e-05,4.998452811080812e-05,4.547388938521895e-05,-0.6253199661579609,0.27625067819137245,13.0
2019-03-25,1.9980365425157771,3750.0,7332.75341796875,0.1188125,0.00011361737231706427,6.43149405214859e-05,5.145666749937026e-05,-0.5555186570591194,0.11893336763291394,13.0
2019-04-10,1.1286338721012186,3807.0,7332.75341796875,0.1233125,0.00010096963017618718,5.201053383329767e-05,5.341616587526452e-05,-0.8180827748340667,0.13014853705725368,13.0
2019-04-26,-0.6954335910049068,3343.0,7332.75341796875,0.12762500000000002,0.00010667051445901354,5.1823027285838866e-05,5.4875255035449775e-05,-0.06839811701500056,0.037785970676744586,13.0
2019-05-12,-0.7935305692199606,3576.0,7332.75341796875,0.121125,0.00011635023153511845,6.330668732063314e-05,5.9159424331758364e-05,-0.7873607646722827,0.1101729391964962,13.0
2019-05-28,0.14808292340127593,3697.0,7332.75341796875,0.1225625,0.00012462073072418405,6.410163866390035e-05,6.051909244571611e-05,-0.12421608037324464,0.009319501065334504,13.0
2019-06-13,-0.38757413914264305,3265.0,7332.75341796875,0.12375,0.00012899091732312333,7.674687164210447e-05,5.666093130842852e-05,-0.6694931070406505,0.08097539595044283,13.0
2019-06-29,-0.17354790194013958,4082.0,7332.75341796875,0.12481818181818181,0.00011378233730314087,6.569739646766769e-05,5.241038568011109e-05,-1.0255476284932954,0.3153153837650919,13.0
2019-07-15,1.777517975266008,4421.0,7332.75341796875,0.1276,0.00011012872107887865,5.11305503700755e-05,4.650987108637797e-05,-1.248925729958894,0.5185795233269244,13.0
2019-07-31,1.3860843288826352,5111.0,7332.75341796875,0.1295,9.494139020587182e-05,6.23588070141563e-05,4.576597759239259e-05,-1.2964913108715346,0.4523024809281688,13.0
2019-08-16,2.3957835558678724,4750.0,7332.75341796875,0.12173333333333333,9.415194403471256e-05,4.525595431014538e-05,4.493212980976822e-05,-1.4300687950717272,0.2678230653056296,13.0
2019-09-01,1.4407322557976165,4714.0,7332.75341796875,0.126,0.00010654629615437113,4.977309402929638e-05,4.011633944625078e-05,-1.0488901318038855,0.300853508924852,13.0
2019-09-17,1.3486437104708422,4746.0,7332.75341796875,0.1239375,9.46141477194948e-05,4.981880106114427e-05,4.120529327407264e-05,-1.3721032992914568,0.2771177918748895,13.0
2019-10-03,0.589957835558689,4387.0,7332.75341796875,0.1271875,0.00010624443997488089,6.62633761397731e-05,4.153977197074313e-05,-1.1934473438026059,0.10428477999540135,13.0
2019-10-19,-0.43121433591005953,4678.0,7332.75341796875,0.1299375,0.00010142856178992988,6.435862984179987e-05,3.758925106571004e-05,-0.8755374511217818,0.11094865586529609,13.0
